Giá,DT,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
"4,95 tỷ",122 m,Đường Trương Quốc Dụng, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng,Tây Bắc,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,Y,"24,5m",---,---
"7,5 tỷ",100 m,Đường Nguyễn Phong Sắc, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,Đông,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,1,Y,20m,1,---
"6,5 tỷ",100 m,Đường Trần Thủ Độ, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,Tây Bắc,Y,Cần bán,10m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,2,Y,20m,4,---
"9,1 tỷ",112 m,Đường Lê Văn Hiến, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,30m,---,Nhà mặt tiền,---,---,5m,3,---,23m,3,---
"23,5 tỷ",200 m,Đường Nguyễn Phước Lan, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Nam,---,Cần bán,"7,5m",---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,10m,---,---,20m,---,---
"4,85 tỷ",100 m,Đường K20, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Bắc,---,Cần bán,10m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
8 tỷ,75 m,Đường Bế Văn Đàn, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng,Bắc,Y,Cần bán,"5,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,5,Y,15m,7,---
"3,75 tỷ",72 m,Đường Nại Hiên Đông 9, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng,Tây Nam,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,4m,2,---,18m,3,---
"5,7 tỷ",100 m,Đường Võ An Ninh, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Bắc,---,Cần bán,10m,---,"Đất thổ cư, đất ở",Giấy tờ hợp lệ,---,5m,---,---,20m,---,---
"5,87 tỷ",100 m,Đường Mỹ An 12, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,"5,5m",---,Nhà mặt tiền,---,---,5m,2,---,20m,3,---
"2,82 tỷ",100 m,Đường Liêm Lạc 6, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Nam,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"6,6 tỷ",105 m,Đường Trương Công Hy, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Nam,---,Cần bán,"7,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,3,---,21m,3,---
