Giá,DT,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
16 tỷ,121 m,Đường 3/2, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng,Nam,---,Cần bán,40m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,"10,75m",---,---,"11,25m",---,---
"4,5 tỷ",50 m,Đường Phan Thanh, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,1m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,7m,4,Y,7m,4,---
50 tỷ,720 m,Đường Mai Chí Thọ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Bắc,---,Cần bán,10m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,36m,---,---,20m,---,---
"5,2 tỷ",70 m,Đường Thái Thị Bôi, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng,Tây,---,Cần bán,"7,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"4,4m",3,---,16m,4,---
"3,55 tỷ",100 m,Đường Nguyễn Hiến Lê, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Đông Nam,---,Cần bán,7m5m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"12,3 tỷ",234 m,Đường Lê Quang Hòa, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây,---,Cần bán,7m5m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,"9,63m",---,---,25m,---,---
4 tỷ,100 m,Đường Đỗ Quỳ,  Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Đông Nam,---,Cần bán,7m5m,---,"Đất nền, liền kề, đất dự án",---,---,5m,---,---,20m,---,---
"4,7 tỷ",129 m,Đường Thanh Lương 11, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Nam,---,Cần bán,7m5m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,"6,5m",---,---,20m,---,---
"10,2 tỷ",172 m,Đường Lê Sỹ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Đông Bắc,---,Cần bán,10m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,9m,---,---,20m,---,---
5 tỷ,120 m,Đường Trung Lương 18,  Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Nam,---,Cần bán,7m5m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,5m,---,---,24m,---,---
"13,5 tỷ",150 m,Đại lộ Thăng Long, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Đông Nam,---,Cần bán,10m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,"7,5m",---,---,20m,---,---
12 tỷ,307 m,Đường Thái Văn Lung,  Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Nam,---,Cần bán,"7,5m",---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,12m,---,---,25m,---,---
"4,7 tỷ",100 m,Đường Diên Hồng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Nam,---,Cần bán,33m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"8,7 tỷ",200 m,Đường Vũ Đình Liên, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Nam,---,Cần bán,7m5m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,10m,---,---,20m,---,---
21 tỷ,255 m,Đường Nguyễn Hữu Thọ, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng,Đông Bắc,---,Cần bán,40m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,"5,9m",---,---,29m,---,---
"22,5 tỷ",250 m,Đường Ỷ Lan Nguyên Phi, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,Tây,---,Cần bán,7m5m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,"14,5m",---,---,"17,5m",---,---
12 tỷ,249 m,Đường Tôn Thất Dương Kỵ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Bắc,---,Cần bán,7m5m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,"12,5m",---,---,20m,---,---
"20,5 tỷ",225 m,Đường Lê Quảng Chí, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Đông Nam,---,Cần bán,10m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,11m,---,---,20m,---,---
"9,6 tỷ",249 m,Đường Bùi Thiện Ngộ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Đông Nam,---,Cần bán,"7,5m",---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,10m,---,---,25m,---,---
"5,3 tỷ",101 m,Đường An Hòa 8, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,Bắc,Y,Cần bán,4m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"4,5m",2,---,"22,5m",3,---
12 tỷ,200 m,Đường Ngô Huy Diễn, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Đông Bắc,---,Cần bán,"7,5m",---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,10m,---,---,20m,---,---
"12,5 tỷ",104 m,Đường Đông Kinh Nghĩa Thục, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng,Đông,---,Cần bán,7m5m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,"5,5m",---,---,20m,---,---
9 tỷ,300 m,Đường Nguyễn Thị Sáu, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Bắc,---,Cần bán,7m5m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,12m,---,---,25m,---,---
"4,3 tỷ",100 m,Đường Phạm Xuân Ẩn, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Đông Bắc,---,Cần bán,7m5m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,2,---,20m,1,---
"13,6 tỷ",200 m,Đường 29/3, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Bắc,---,Cần bán,40m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,10m,---,---,20m,---,---
"10,5 tỷ",140 m,Đường Phạm Tứ, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,Bắc,---,Cần bán,10m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,"7,2m",---,---,20m,---,---
"3,5 tỷ",100 m,Đường Bùi Công Trừng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Nam,---,Cần bán,7m5m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
65 triệu / m,430 m,Khu đảo nổi Khuê Trung,  Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,Đông Nam,---,Cần bán,"6,5m",---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,15m,---,---,27m,---,---
"3,6 tỷ",85 m,Đường Nguyễn Thị Ba, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng,Tây Bắc,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"4,55 tỷ",48 m,Đường Triệu Nữ Vương, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng,Đông,---,Cần bán,"2,5m",---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,3,---,---,3,---
"38,6 tỷ",193 m,Đường Trần Bạch Đằng, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,Đông,---,Cần bán,11m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"3,29 tỷ",74 m,Đường Lê Duẩn, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng,Nam,---,Cần bán,"2,5m",---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,2,---,---,3,---
"2,9 tỷ",61 m,Đường Võ Văn Kiệt, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,Tây Nam,---,Cần bán,"2,5m",---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,2,---,---,3,---
"5,2 tỷ",177 m,Đường Cao Sơn 8, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,Nam,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"16,5 tỷ",107 m,Đường Dương Đình Nghệ, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng,Tây Nam,---,Cần bán,"7,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,6,---,---,18,---
"4,1 tỷ",118 m,Đường Nại Hiên Đông 16, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng,Tây Bắc,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,2,---,---,3,---
4 tỷ,60 m,Đường Trần Cao Vân, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng,Đông,---,Cần bán,"3,5m",---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,3,---,---,5,---
"4,38 tỷ",54 m,Đường Phan Thanh, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng,Đông,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,3,---,---,3,---
"5,6 tỷ",72 m,Đường Dương Quảng Hàm, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,Đông,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,2,---,---,3,---
"7,8 tỷ",90 m,Đường Nguyễn Đức Thuận, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Bắc,---,Cần bán,15m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"3,7 tỷ",75 m,Đường Cao Thắng, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng,Tây Nam,---,Cần bán,4m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,2,---,---,7,---
"3,8 tỷ",122 m,Đường Trưng Nhị, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng,Bắc,---,Cần bán,4m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"1,99 tỷ",30 m,Đường Đoàn Thị Điểm, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng,Tây Nam,---,Cần bán,4m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,4,---,---,4,---
"3,6 tỷ",80 m,Đường Sơn Thủy 12, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,Đông,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,2,---,---,2,---
"2,14 tỷ",25 m,Đường Ông Ích Khiêm, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng,Tây Nam,---,Cần bán,4m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,3,---,---,2,---
"4,1 tỷ",84 m,Đường Mân Quang 17, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng,Đông Nam,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,2,---,---,2,---
"12,5 tỷ",99 m,Đường Dương Khuê, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Bắc,---,Cần bán,11m,---,"Phòng trọ, nhà trọ",Sổ hồng/ Sổ đỏ,---,---,5,---,---,9,---
"3,2 tỷ",73 m,Đường Hải Phòng, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng,Nam,---,Cần bán,"2,5m",---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,2,---,---,3,---
3 tỷ,100 m,Đường Trần Kim Xuyến, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Nam,---,Cần bán,7m5m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"11,9 tỷ",200 m,Đường Lê Quảng Chí, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Bắc,---,Cần bán,10m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,10m,---,---,20m,---,---
"3,05 tỷ",55 m,Đường Ngô Gia Tự, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng,Tây,---,Cần bán,2m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,3,---,---,4,---
28 tỷ,106 m,Đường Nguyễn Văn Linh, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng,Bắc,---,Cần bán,40m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,5m,---,---,21m,---,---
14 tỷ,277 m,Đường Nguyễn Thành Ý, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,Tây Nam,---,Cần bán,7m5m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,14m,---,---,20m,---,---
"3,95 tỷ",50 m,Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng,Tây Nam,---,Cần bán,5m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,3,---,---,3,---
"14,5 tỷ",173 m,Đường Lê Quảng Chí, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Đông Nam,---,Cần bán,10m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,8m,---,---,20m,---,---
"1,75 tỷ",22 m,Đường Núi Thành, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,Đông,---,Cần bán,"2,5m",---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,1,---,---,1,---
"4,6 tỷ",120 m,Đường Trung Lương 18,  Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Đông Bắc,---,Cần bán,7m5m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,24m,---,---
"3,05 tỷ",78 m,Đường Mai Am, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng,Đông,---,Cần bán,2m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
10 tỷ,98 m,Đường Nguyễn Xiển, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,Đông Bắc,---,Cần bán,"7,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,5,---,---,9,---
"5,2 tỷ",155 m,Đường Hoàng Sâm, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây,---,Cần bán,"5,5m",---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,8m,---,---,---,---,---
"8,8 tỷ",200 m,Trung Lương 14, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Đông Nam,---,Cần bán,7m5m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,10m,---,---,20m,---,---
60 tỷ,490 m,Đường Nguyễn Hữu Thọ, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,Tây,---,Cần bán,40m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,20m,---,---,"24,5m",---,---
"4,8 tỷ",85 m,Đường Lê Cảnh Tuân, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng,Đông Nam,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,3,---,---,3,---
"4,4 tỷ",102 m,Đường Mỹ Đa Đông 8, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Bắc,---,Cần bán,5m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"3,35 tỷ",100 m,Đường Hoàng Hiệp, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Bắc,---,Cần bán,7m5m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"7,6 tỷ",164 m,Đường Mạc Đăng Dung, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Đông Nam,---,Cần bán,7m5m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,"8,5m",---,---,20m,---,---
"4,3 tỷ",138 m,Đường Trường Sơn, Phường Hòa Thọ Tây, Quận Cẩm Lệ, Đà Nẵng,Bắc,---,Cần bán,40m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,5m,---,---,28m,---,---
"2,85 tỷ",50 m,Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng,Đông Nam,---,Cần bán,"2,5m",---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,3,---,---,3,---
"8,5 tỷ",60 m,Đường An Thượng 38, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Nam,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,4,---,---,6,---
"4,99 tỷ",78 m,Đường Trần Văn Thành, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Nam,---,Cần bán,6m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,3,---,---,4,---
34 tỷ,411 m,Đường Bà Huyện Thanh Quan, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Bắc,---,Cần bán,10m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"2,79 tỷ",62 m,Đường Đỗ Quang, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng,Nam,---,Cần bán,"2,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"2,18 tỷ",33 m,Đường Lê Đình Dương, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng,Đông Bắc,---,Cần bán,"2,5m",---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,2,---,---,2,---
"2,58 tỷ",53 m,Đường Điện Biên Phủ, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng,Tây Bắc,---,Cần bán,"2,3m",---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,2,---,---,2,---
"2,89 tỷ",51 m,Đường Đỗ Quang, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng,Tây,---,Cần bán,2m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,2,---,---,3,---
5 tỷ,99 m,Đường Phan Tứ, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Nam,---,Cần bán,4m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,18m,---,---
"2,9 tỷ",58 m,Đường Trưng Nữ Vương, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng,Đông,---,Cần bán,2m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,3,---,---,3,---
"3,9 tỷ",58 m,Đường An Trung, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng,Tây Bắc,---,Cần bán,4m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,2,---,---,2,---
"4,29 tỷ",52 m,Đường Trần Cao Vân, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng,Tây Nam,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,4,---,---,4,---
"5,6 tỷ",69 m,Đường Lê Thị Xuyến, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng,Bắc,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,2,---,---,3,---
"2,98 tỷ",53 m,Đường An Hải 14, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng,Tây Nam,---,Cần bán,4m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"4,75 tỷ",55 m,Đường Ông Ích Khiêm, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng,Đông,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,3,---,---,4,---
"4,9 tỷ",84 m,Đường Lê Hữu Trác, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng,Tây,---,Cần bán,6m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,2,---,---,3,---
"28,5 tỷ",289 m,Đường Đa Phước 8, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Bắc,---,Cần bán,"7,5m",---,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,---,---,3,---,---,4,---
"3,7 tỷ",61 m,Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng,Tây Bắc,---,Cần bán,4m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,3,---,---,3,---
"4,2 tỷ",85 m,Đường Tiên Sơn 14, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,Đông,---,Cần bán,4m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,2,---,---,3,---
"3,5 tỷ",96 m,Đường Đặng Vũ Hỷ, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,Đông Nam,---,Cần bán,2m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"4,7 tỷ",100 m,Đường Đoàn Khuê, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Nam,---,Cần bán,12m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"5,7 tỷ",56 m,Đường An Cư 1, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng,Bắc,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,2,---,---,3,---
4 tỷ,43 m,Đường Ngô Quyền, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng,Nam,---,Cần bán,30m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,1,---,---,2,---
"4,9 tỷ",55 m,Đường Lê Đình Lý, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng,Đông Bắc,---,Cần bán,6m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,4,---,---,3,---
7 tỷ,79 m,Đường An Dương Vương, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Nam,---,Cần bán,30m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,2,---,---,---,---
"7,8 tỷ",86 m,Đường Trần Đình Đàn, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,Nam,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"7,3 tỷ",90 m,Đường Hồ Nguyên Trừng, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,Bắc,---,Cần bán,"7,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,3,---,---,4,---
"4,1 tỷ",59 m,Đường Nguyễn Hữu Cảnh, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng,Tây Nam,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,2,---,---,2,---
"2,99 tỷ",52 m,Đường Phan Thúc Duyện, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Bắc,---,Cần bán,6m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"2,35 tỷ",79 m,Đường Phan Thanh, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng,Đông,---,Cần bán,"2,3m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"2,85 tỷ",46 m,Đường Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng,Tây Nam,---,Cần bán,"2,5m",---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,3,---,---,3,---
"5,3 tỷ",75 m,Đường Trần Thanh Mại, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng,Đông,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"4,4 tỷ",114 m,Đường Nguyễn Văn Thoại, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Nam,---,Cần bán,"3,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"2,95 tỷ",49 m,Đường Hùng Vương, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng,Đông Bắc,---,Cần bán,"2,5m",---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,3,---,---,3,---
"3,5 tỷ",43 m,Đường Núi Thành, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,Tây,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,3,---,---,3,---
"4,5 tỷ",85 m,Đường Nguyễn Duy Hiệu, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng,Tây Nam,---,Cần bán,5m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,2,---,---,3,---
"2,23 tỷ",32 m,Đường Pasteur, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng,Đông,---,Cần bán,2m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,2,---,---,2,---
19 tỷ,239 m,Đường An Dương Vương, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Nam,---,Cần bán,30m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"7,6 tỷ",75 m,Đường Ngũ Hành Sơn, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Đông Bắc,---,Cần bán,45m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,3,---,---,3,---
"7,95 tỷ",61 m,Đường Điện Biên Phủ, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng,Đông Nam,---,Cần bán,30m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,4,---,---,5,---
"4,85 tỷ",59 m,Đường Nguyễn Đức Cảnh, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng,Nam,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,3,---,---,3,---
